ATC5,NAZIV,joint_name
J05AX67,"ombitasvir, paritaprevir in ritonavir","J05AX67 - ombitasvir, paritaprevir in ritonavir"
J05AX68,elbasvir in grazoprevir,J05AX68 - elbasvir in grazoprevir
J06BA01,humani imunoglobulini za ekstravaskularno aplikacijo,J06BA01 - humani imunoglobulini za ekstravaskularno aplikacijo
J06BB04,humani imunoglobulin proti hepatitisu tipa B,J06BB04 - humani imunoglobulin proti hepatitisu tipa B
L01AA01,ciklofosfamid,L01AA01 - ciklofosfamid
L01AA02,klorambucil,L01AA02 - klorambucil
L01AA03,melfalan,L01AA03 - melfalan
L01AB01,busulfan,L01AB01 - busulfan
L01AX03,temozolomid,L01AX03 - temozolomid
L01BA01,metotreksat,L01BA01 - metotreksat
L01BB02,merkaptopurin,L01BB02 - merkaptopurin
L01BB03,tiogvanin,L01BB03 - tiogvanin
L01BB04,kladribin,L01BB04 - kladribin
L01BB05,fludarabin,L01BB05 - fludarabin
L01BC06,kapecitabin,L01BC06 - kapecitabin
L01BC53,"tegafur, kombinacije","L01BC53 - tegafur, kombinacije"
L01BC59,"trifluridin, kombinacije","L01BC59 - trifluridin, kombinacije"
L01CB01,etopozid,L01CB01 - etopozid
L01XE01,imatinib,L01XE01 - imatinib
L01XE02,gefitinib,L01XE02 - gefitinib
L01XE03,erlotinib,L01XE03 - erlotinib
L01XE04,sunitinib,L01XE04 - sunitinib
L01XE05,sorafenib,L01XE05 - sorafenib
L01XE06,dasatinib,L01XE06 - dasatinib
L01XE07,lapatinib,L01XE07 - lapatinib
L01XE08,nilotinib,L01XE08 - nilotinib
L01XE10,everolimus,L01XE10 - everolimus
L01XE11,pazopanib,L01XE11 - pazopanib
L01XE13,afatinib,L01XE13 - afatinib
L01XE14,bosutinib,L01XE14 - bosutinib
L01XE15,vemurafenib,L01XE15 - vemurafenib
L01XE16,krizotinib,L01XE16 - krizotinib
L01XE18,ruksolitinib,L01XE18 - ruksolitinib
L01XE21,regorafenib,L01XE21 - regorafenib
L01XE23,dabrafenib,L01XE23 - dabrafenib
L01XE25,trametinib,L01XE25 - trametinib
L01XE26,kabozantinib,L01XE26 - kabozantinib
L01XE27,ibrutinib,L01XE27 - ibrutinib
L01XE28,ceritinib,L01XE28 - ceritinib
L01XE31,nintedanib,L01XE31 - nintedanib
L01XE33,palbociklib,L01XE33 - palbociklib
L01XE35,osimertinib,L01XE35 - osimertinib
L01XE36,alektinib,L01XE36 - alektinib
L01XE38,kobimetinib,L01XE38 - kobimetinib
L01XE39,midostavrin,L01XE39 - midostavrin
L01XE42,ribociklib,L01XE42 - ribociklib
L01XE43,brigatinib,L01XE43 - brigatinib
L01XE50,abemaciklib,L01XE50 - abemaciklib
L01XX05,hidroksikarbamid,L01XX05 - hidroksikarbamid
L01XX17,topotekan,L01XX17 - topotekan
L01XX35,anagrelid,L01XX35 - anagrelid
L01XX42,panobinostat,L01XX42 - panobinostat
L01XX43,vismodegib,L01XX43 - vismodegib
L01XX46,olaparib,L01XX46 - olaparib
L01XX47,idelalizib,L01XX47 - idelalizib
L01XX50,iksazomib,L01XX50 - iksazomib
L01XX52,venetoklaks,L01XX52 - venetoklaks
L02AB01,megestrol,L02AB01 - megestrol
L02AB02,medroksiprogesteron,L02AB02 - medroksiprogesteron
L02AE02,levprorelin,L02AE02 - levprorelin
L02AE03,goserelin,L02AE03 - goserelin
L02AE04,triptorelin,L02AE04 - triptorelin
L02AE05,histrelin,L02AE05 - histrelin
L02BA01,tamoksifen,L02BA01 - tamoksifen
L02BA03,fulvestrant,L02BA03 - fulvestrant
L02BB01,flutamid,L02BB01 - flutamid
L02BB03,bikalutamid,L02BB03 - bikalutamid
L02BB04,enzalutamid,L02BB04 - enzalutamid
L02BG03,anastrozol,L02BG03 - anastrozol
L02BG04,letrozol,L02BG04 - letrozol
L02BG06,eksemestan,L02BG06 - eksemestan
L02BX02,degareliks,L02BX02 - degareliks
L02BX03,abirateron,L02BX03 - abirateron
L03AA02,filgrastim,L03AA02 - filgrastim
L03AA13,pegfilgrastim,L03AA13 - pegfilgrastim
L03AA14,lipegfilgrastim,L03AA14 - lipegfilgrastim
L03AB04,interferon alfa-2a,L03AB04 - interferon alfa-2a
L03AB05,interferon alfa-2b,L03AB05 - interferon alfa-2b
L03AB07,interferon beta-1a,L03AB07 - interferon beta-1a
L03AB08,interferon beta-1b,L03AB08 - interferon beta-1b
L03AB10,peginterferon alfa-2b,L03AB10 - peginterferon alfa-2b
L03AB11,peginterferon alfa-2a,L03AB11 - peginterferon alfa-2a
L03AB13,peginterferon beta-1a,L03AB13 - peginterferon beta-1a
L03AX13,glatiramerijev acetat,L03AX13 - glatiramerijev acetat
L04AA06,mikofenolna kislina,L04AA06 - mikofenolna kislina
L04AA10,sirolimus,L04AA10 - sirolimus
L04AA13,leflunomid,L04AA13 - leflunomid
L04AA18,everolimus,L04AA18 - everolimus
L04AA23,natalizumab,L04AA23 - natalizumab
L04AA27,fingolimod,L04AA27 - fingolimod
L04AA29,tofacitinib,L04AA29 - tofacitinib
L04AA31,teriflunomid,L04AA31 - teriflunomid
L04AA32,apremilast,L04AA32 - apremilast
L04AA37,baricitinib,L04AA37 - baricitinib
L04AB01,etanercept,L04AB01 - etanercept
L04AB04,adalimumab,L04AB04 - adalimumab
L04AB05,certolizumab pegol,L04AB05 - certolizumab pegol
L04AB06,golimumab,L04AB06 - golimumab
L04AC01,daklizumab,L04AC01 - daklizumab
L04AC03,anakinra,L04AC03 - anakinra
L04AC05,ustekinumab,L04AC05 - ustekinumab
L04AC07,tocilizumab,L04AC07 - tocilizumab
L04AC10,sekukinumab,L04AC10 - sekukinumab
L04AC13,iksekizumab,L04AC13 - iksekizumab
L04AC14,sarilumab,L04AC14 - sarilumab
L04AC16,guselkumab,L04AC16 - guselkumab
L04AD01,ciklosporin,L04AD01 - ciklosporin
L04AD02,takrolimus,L04AD02 - takrolimus
L04AX01,azatioprin,L04AX01 - azatioprin
L04AX02,talidomid,L04AX02 - talidomid
L04AX03,metotreksat,L04AX03 - metotreksat
L04AX04,lenalidomid,L04AX04 - lenalidomid
L04AX05,pirfenidon,L04AX05 - pirfenidon
L04AX06,pomalidomid,L04AX06 - pomalidomid
M01AB01,indometacin,M01AB01 - indometacin
M01AB05,diklofenak,M01AB05 - diklofenak
M01AB08,etodolak,M01AB08 - etodolak
M01AC05,lornoksikam,M01AC05 - lornoksikam
M01AC06,meloksikam,M01AC06 - meloksikam
M01AE01,ibuprofen,M01AE01 - ibuprofen
M01AE02,naproksen,M01AE02 - naproksen
M01AE03,ketoprofen,M01AE03 - ketoprofen
M01AH01,celekoksib,M01AH01 - celekoksib
M01AH05,etorikoksib,M01AH05 - etorikoksib
M01AX17,nimesulid,M01AX17 - nimesulid
M03BX01,baklofen,M03BX01 - baklofen
M03BX02,tizanidin,M03BX02 - tizanidin
M04AA01,alopurinol,M04AA01 - alopurinol
M04AA03,febuksostat,M04AA03 - febuksostat
M04AC01,kolhicin,M04AC01 - kolhicin
M05BA02,klodronska kislina,M05BA02 - klodronska kislina
M05BA03,pamidronska kislina,M05BA03 - pamidronska kislina
M05BA04,alendronska kislina,M05BA04 - alendronska kislina
M05BA06,ibandronska kislina,M05BA06 - ibandronska kislina
M05BA07,risedronska kislina,M05BA07 - risedronska kislina
M05BA08,zoledronska kislina,M05BA08 - zoledronska kislina
M05BB03,alendronska kislina in holekalciferol,M05BB03 - alendronska kislina in holekalciferol
M05BB04,"risedronska kislina, kalcij in holekalciferol, zaporedni","M05BB04 - risedronska kislina, kalcij in holekalciferol, zaporedni"
M05BX03,stroncijev ranelat,M05BX03 - stroncijev ranelat
M05BX04,denozumab,M05BX04 - denozumab
M09AX03,ataluren,M09AX03 - ataluren
N01BB02,lidokain,N01BB02 - lidokain
N01BX04,kapsaicin,N01BX04 - kapsaicin
N02AA01,morfin,N02AA01 - morfin
N02AA03,hidromorfon,N02AA03 - hidromorfon
N02AA05,oksikodon,N02AA05 - oksikodon
N02AA08,dihidrokodein,N02AA08 - dihidrokodein
N02AA55,oksikodon in nalokson,N02AA55 - oksikodon in nalokson
N02AB03,fentanil,N02AB03 - fentanil
N02AE01,buprenorfin,N02AE01 - buprenorfin
N02AJ13,tramadol in paracetamol,N02AJ13 - tramadol in paracetamol
N02AX02,tramadol,N02AX02 - tramadol
N02AX06,tapentadol,N02AX06 - tapentadol
N02AX52,"tramadol, kombinacije","N02AX52 - tramadol, kombinacije"
N02BA01,acetilsalicilna kislina,N02BA01 - acetilsalicilna kislina
N02BB02,natrijev metamizolat,N02BB02 - natrijev metamizolat
N02BE01,paracetamol,N02BE01 - paracetamol
N02CA01,dihidroergotamin,N02CA01 - dihidroergotamin
N02CC01,sumatriptan,N02CC01 - sumatriptan
N02CC02,naratriptan,N02CC02 - naratriptan
N02CC03,zolmitriptan,N02CC03 - zolmitriptan
N02CC06,eletriptan,N02CC06 - eletriptan
N02CC07,frovatriptan,N02CC07 - frovatriptan
N02CX07,erenumab,N02CX07 - erenumab
N03AA01,metilfenobarbital,N03AA01 - metilfenobarbital
N03AA02,fenobarbital,N03AA02 - fenobarbital
N03AA03,primidon,N03AA03 - primidon
N03AB02,fenitoin,N03AB02 - fenitoin
N03AD01,etosuksimid,N03AD01 - etosuksimid
N03AE01,klonazepam,N03AE01 - klonazepam
N03AF01,karbamazepin,N03AF01 - karbamazepin
N03AF02,okskarbazepin,N03AF02 - okskarbazepin
N03AG01,valprojska kislina,N03AG01 - valprojska kislina
N03AG04,vigabatrin,N03AG04 - vigabatrin
N03AX09,lamotrigin,N03AX09 - lamotrigin
N03AX11,topiramat,N03AX11 - topiramat
N03AX12,gabapentin,N03AX12 - gabapentin
N03AX14,levetiracetam,N03AX14 - levetiracetam
N03AX15,zonisamid,N03AX15 - zonisamid
N03AX16,pregabalin,N03AX16 - pregabalin
N03AX17,stiripentol,N03AX17 - stiripentol
N03AX18,lakozamid,N03AX18 - lakozamid
N03AX21,retigabin,N03AX21 - retigabin
N04AA02,biperiden,N04AA02 - biperiden
N04BA02,levodopa in zaviralec dekarboksilaze,N04BA02 - levodopa in zaviralec dekarboksilaze
N04BA03,"levodopa, zaviralec dekarboksilaze in zaviralec COMT","N04BA03 - levodopa, zaviralec dekarboksilaze in zaviralec COMT"
N04BB01,amantadin,N04BB01 - amantadin
N04BC04,ropinirol,N04BC04 - ropinirol
N04BC05,pramipeksol,N04BC05 - pramipeksol
N04BC07,apomorfin,N04BC07 - apomorfin
N04BC09,rotigotin,N04BC09 - rotigotin
N04BD01,selegilin,N04BD01 - selegilin
N04BD02,razagilin,N04BD02 - razagilin
N04BX01,tolkapon,N04BX01 - tolkapon
N04BX02,entakapon,N04BX02 - entakapon
N05AA02,levomepromazin,N05AA02 - levomepromazin
N05AA03,promazin,N05AA03 - promazin
N05AB02,flufenazin,N05AB02 - flufenazin
N05AD01,haloperidol,N05AD01 - haloperidol
N05AE04,ziprasidon,N05AE04 - ziprasidon
N05AF01,flupentiksol,N05AF01 - flupentiksol
N05AF05,zuklopentiksol,N05AF05 - zuklopentiksol
N05AH02,klozapin,N05AH02 - klozapin
N05AH03,olanzapin,N05AH03 - olanzapin
N05AH04,kvetiapin,N05AH04 - kvetiapin
N05AH05,asenapin,N05AH05 - asenapin
N05AL01,sulpirid,N05AL01 - sulpirid
N05AL05,amisulprid,N05AL05 - amisulprid
N05AN01,litij,N05AN01 - litij
N05AX08,risperidon,N05AX08 - risperidon
N05AX12,aripiprazol,N05AX12 - aripiprazol
N05AX13,paliperidon,N05AX13 - paliperidon
N05AX15,kariprazin,N05AX15 - kariprazin
N05BA01,diazepam,N05BA01 - diazepam
N05BA03,medazepam,N05BA03 - medazepam
N05BA04,oksazepam,N05BA04 - oksazepam
N05BA06,lorazepam,N05BA06 - lorazepam
N05BA08,bromazepam,N05BA08 - bromazepam
N05BA09,klobazam,N05BA09 - klobazam
N05BA12,alprazolam,N05BA12 - alprazolam
N05BB01,hidroksizin,N05BB01 - hidroksizin
N05CD01,flurazepam,N05CD01 - flurazepam
N05CD02,nitrazepam,N05CD02 - nitrazepam
N05CD08,midazolam,N05CD08 - midazolam
N05CF02,zolpidem,N05CF02 - zolpidem
N05CM02,klometiazol,N05CM02 - klometiazol
N06AA04,klomipramin,N06AA04 - klomipramin
N06AA09,amitriptilin,N06AA09 - amitriptilin
N06AA12,doksepin,N06AA12 - doksepin
N06AA21,maprotilin,N06AA21 - maprotilin
N06AB03,fluoksetin,N06AB03 - fluoksetin
N06AB04,citalopram,N06AB04 - citalopram
N06AB05,paroksetin,N06AB05 - paroksetin
N06AB06,sertralin,N06AB06 - sertralin
N06AB10,escitalopram,N06AB10 - escitalopram
N06AG02,moklobemid,N06AG02 - moklobemid
N06AX03,mianserin,N06AX03 - mianserin
N06AX05,trazodon,N06AX05 - trazodon
N06AX11,mirtazapin,N06AX11 - mirtazapin
N06AX12,bupropion,N06AX12 - bupropion
N06AX14,tianeptin,N06AX14 - tianeptin
N06AX16,venlafaksin,N06AX16 - venlafaksin
N06AX18,reboksetin,N06AX18 - reboksetin
N06AX21,duloksetin,N06AX21 - duloksetin
N06AX22,agomelatin,N06AX22 - agomelatin
N06AX26,vortioksetin,N06AX26 - vortioksetin
N06BA04,metilfenidat,N06BA04 - metilfenidat
N06BA07,modafinil,N06BA07 - modafinil
N06BA09,atomoksetin,N06BA09 - atomoksetin
N06BX13,idebenon,N06BX13 - idebenon
N06DA02,donepezil,N06DA02 - donepezil
N06DA03,rivastigmin,N06DA03 - rivastigmin
N06DA04,galantamin,N06DA04 - galantamin
N06DX01,memantin,N06DX01 - memantin
N07AA02,piridostigmin,N07AA02 - piridostigmin
N07AX01,pilokarpin,N07AX01 - pilokarpin
N07BB01,disulfiram,N07BB01 - disulfiram
N07BB04,naltrekson,N07BB04 - naltrekson
N07BB05,nalmefen,N07BB05 - nalmefen
N07BC02,metadon,N07BC02 - metadon
N07CA01,betahistin,N07CA01 - betahistin
N07XX02,riluzol,N07XX02 - riluzol
N07XX04,natrijev oksibat,N07XX04 - natrijev oksibat
N07XX05,amifampridin,N07XX05 - amifampridin
N07XX06,tetrabenazin,N07XX06 - tetrabenazin
N07XX07,fampridin,N07XX07 - fampridin
N07XX08,tafamidis,N07XX08 - tafamidis
N07XX09,dimetilfumarat,N07XX09 - dimetilfumarat
P01AB01,metronidazol,P01AB01 - metronidazol
P01BA01,klorokin,P01BA01 - klorokin
P01BA02,hidroksiklorokin,P01BA02 - hidroksiklorokin
P02CA01,mebendazol,P02CA01 - mebendazol
P03AC04,permetrin,P03AC04 - permetrin
P03AX01,benzilbenzoat,P03AX01 - benzilbenzoat
R01AD05,budezonid,R01AD05 - budezonid
R01AD08,flutikazon,R01AD08 - flutikazon
R01AD09,mometazon,R01AD09 - mometazon
R01AD12,flutikazonfuroat,R01AD12 - flutikazonfuroat
R01AD58,"flutikazon, kombinacije","R01AD58 - flutikazon, kombinacije"
R01AX,Druga zdravila za bolezni nosne sluznice,R01AX - Druga zdravila za bolezni nosne sluznice
R03AC02,salbutamol,R03AC02 - salbutamol
R03AC04,fenoterol,R03AC04 - fenoterol
R03AC12,salmeterol,R03AC12 - salmeterol
R03AC13,formoterol,R03AC13 - formoterol
R03AC18,indakaterol,R03AC18 - indakaterol
R03AK06,salmeterol in flutikazon,R03AK06 - salmeterol in flutikazon
R03AK07,formoterol in  budezonid,R03AK07 - formoterol in  budezonid
R03AK08,formoterol in beklometazon,R03AK08 - formoterol in beklometazon
R03AK10,vilanterol in flutikazonfuroat,R03AK10 - vilanterol in flutikazonfuroat
R03AL01,fenoterol in ipratropijev bromid,R03AL01 - fenoterol in ipratropijev bromid
R03AL03,vilanterol in umeklidinijev bromid,R03AL03 - vilanterol in umeklidinijev bromid
R03AL04,indakaterol in glikopironijev bromid,R03AL04 - indakaterol in glikopironijev bromid
R03AL05,formoterol in aklidinijev bromid,R03AL05 - formoterol in aklidinijev bromid
R03AL06,olodaterol in tiotropijev bromid,R03AL06 - olodaterol in tiotropijev bromid
R03AL08,"vilanterol, umeklidinijev bromid in flutikazonfuroat","R03AL08 - vilanterol, umeklidinijev bromid in flutikazonfuroat"
R03AL09,"formoterol, glikopironijev bromid in beklometazon","R03AL09 - formoterol, glikopironijev bromid in beklometazon"
R03BA02,budezonid,R03BA02 - budezonid
R03BA05,flutikazon,R03BA05 - flutikazon
R03BA07,mometazon,R03BA07 - mometazon
R03BA08,ciklezonid,R03BA08 - ciklezonid
R03BB04,tiotropijev bromid,R03BB04 - tiotropijev bromid
R03BB05,aklidinijev bromid,R03BB05 - aklidinijev bromid
R03BB06,glikopironijev bromid,R03BB06 - glikopironijev bromid
R03BB07,umeklidinijev bromid,R03BB07 - umeklidinijev bromid
R03CC02,salbutamol,R03CC02 - salbutamol
R03DA04,teofilin,R03DA04 - teofilin
R03DC01,zafirlukast,R03DC01 - zafirlukast
R03DC03,montelukast,R03DC03 - montelukast
R03DX07,roflumilast,R03DX07 - roflumilast
R03DX09,mepolizumab,R03DX09 - mepolizumab
R05CB13,dornaza alfa (dezoksiribonukleaza),R05CB13 - dornaza alfa (dezoksiribonukleaza)
R05DA04,kodein,R05DA04 - kodein
R05DA08,folkodin,R05DA08 - folkodin
R06AB03,dimetinden,R06AB03 - dimetinden
R06AD03,tietilperazin,R06AD03 - tietilperazin
R06AE07,cetirizin,R06AE07 - cetirizin
R06AE09,levocetirizin,R06AE09 - levocetirizin
R06AX13,loratadin,R06AX13 - loratadin
R06AX26,feksofenadin,R06AX26 - feksofenadin
R06AX27,desloratadin,R06AX27 - desloratadin
S01AA01,kloramfenikol,S01AA01 - kloramfenikol
S01AA12,tobramicin,S01AA12 - tobramicin
S01AA26,azitromicin,S01AA26 - azitromicin
S01AA30,kombinacije različnih antibiotikov,S01AA30 - kombinacije različnih antibiotikov
S01AD03,aciklovir,S01AD03 - aciklovir
S01AD09,ganciklovir,S01AD09 - ganciklovir
S01AE03,ciprofloksacin,S01AE03 - ciprofloksacin
S01AE05,levofloksacin,S01AE05 - levofloksacin
S01AE07,moksifloksacin,S01AE07 - moksifloksacin
S01AX,Druga zdravila za preprečevanje in zdravljenje infekcij,S01AX - Druga zdravila za preprečevanje in zdravljenje infekcij
S01AX02,srebrove spojine,S01AX02 - srebrove spojine
S01BA01,deksametazon,S01BA01 - deksametazon
S01BA02,hidrokortizon,S01BA02 - hidrokortizon
S01BA07,fluorometolon,S01BA07 - fluorometolon
S01BA14,loteprednol,S01BA14 - loteprednol
S01BC03,diklofenak,S01BC03 - diklofenak
S01BC10,nepafenak,S01BC10 - nepafenak
S01CA01,deksametazon in protimikrobne učinkovine,S01CA01 - deksametazon in protimikrobne učinkovine
S01EA05,brimonidin,S01EA05 - brimonidin
S01EB01,pilokarpin,S01EB01 - pilokarpin
S01EC01,acetazolamid,S01EC01 - acetazolamid
S01EC03,dorzolamid,S01EC03 - dorzolamid
S01EC04,brinzolamid,S01EC04 - brinzolamid
S01EC54,"brinzolamid, kombinacije","S01EC54 - brinzolamid, kombinacije"
S01ED01,timolol,S01ED01 - timolol
S01ED02,betaksolol,S01ED02 - betaksolol
S01ED51,"timolol, kombinacije","S01ED51 - timolol, kombinacije"
S01EE01,latanoprost,S01EE01 - latanoprost
S01EE03,bimatoprost,S01EE03 - bimatoprost
S01EE04,travoprost,S01EE04 - travoprost
S01EE05,tafluprost,S01EE05 - tafluprost
S01FA01,atropin,S01FA01 - atropin
S01FA02,skopolamin,S01FA02 - skopolamin
S01FA05,homatropin,S01FA05 - homatropin
S01FB01,fenilefrin,S01FB01 - fenilefrin
S01GX05,lodoksamid,S01GX05 - lodoksamid
S01GX06,emedastin,S01GX06 - emedastin
S01GX08,ketotifen,S01GX08 - ketotifen
S01GX09,olopatadin,S01GX09 - olopatadin
S01XA,Druga zdravila za očesne bolezni,S01XA - Druga zdravila za očesne bolezni
S01XA03,hipertonična raztopina natrijevega klorida,S01XA03 - hipertonična raztopina natrijevega klorida
S01XA08,acetilcistein,S01XA08 - acetilcistein
S01XA15,askorbinska kislina (vitamin C),S01XA15 - askorbinska kislina (vitamin C)
S01XA18,ciklosporin,S01XA18 - ciklosporin
S01XA20,umetne solze in druga nevtralna zdravila,S01XA20 - umetne solze in druga nevtralna zdravila
S03AA30,"protimikrobne učinkovine, kombinacije","S03AA30 - protimikrobne učinkovine, kombinacije"
V01AA,Alergenski ekstrakti,V01AA - Alergenski ekstrakti
V01AA02,cvetni prah trav,V01AA02 - cvetni prah trav
V01AA20,razni alergenski ekstrakti,V01AA20 - razni alergenski ekstrakti
V03AC03,deferasiroks,V03AC03 - deferasiroks
V03AE01,polistirensulfonat,V03AE01 - polistirensulfonat
V03AE02,sevelamer,V03AE02 - sevelamer
V03AE03,lantanov(III) karbonat,V03AE03 - lantanov(III) karbonat
V03AE04,kalcijev acetat in magnezijev karbonat,V03AE04 - kalcijev acetat in magnezijev karbonat
V03AG,Zdravila za zdravljenje hiperkalciemije,V03AG - Zdravila za zdravljenje hiperkalciemije
V06,OSNOVNA HRANILA,V06 - OSNOVNA HRANILA
V06C,Hranila za otroke,V06C - Hranila za otroke
V06CA,Hranila brez fenilalanina,V06CA - Hranila brez fenilalanina
V06DB,"Maščobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije","V06DB - Maščobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije"
V06DF,Mlečni nadomestki,V06DF - Mlečni nadomestki
V06DX,Druge kombinacije hranil,V06DX - Druge kombinacije hranil
V07AB,"Raztopine in pripravki za redčenje, vključno s tekočinami za izpiranje","V07AB - Raztopine in pripravki za redčenje, vključno s tekočinami za izpiranje"
