ATC4,NAZIV,joint_name
R03BB,Antiholinergiki,R03BB - Antiholinergiki
R03CC,Bronhoselektivni agonisti adrenergičnih receptorjev beta-2,R03CC - Bronhoselektivni agonisti adrenergičnih receptorjev beta-2
R03DA,Ksantini,R03DA - Ksantini
R03DC,Antagonisti levkotrienskih receptorjev,R03DC - Antagonisti levkotrienskih receptorjev
R03DX,Druga sistemska zdravila za obstruktivne pljučne bolezni,R03DX - Druga sistemska zdravila za obstruktivne pljučne bolezni
R05CB,Mukolitiki,R05CB - Mukolitiki
R05DA,Opijevi alkaloidi in njihovi derivati,R05DA - Opijevi alkaloidi in njihovi derivati
R06AB,Substituirani alkilamini,R06AB - Substituirani alkilamini
R06AD,Derivati fenotiazina,R06AD - Derivati fenotiazina
R06AE,Derivati piperazina,R06AE - Derivati piperazina
R06AX,Drugi antihistaminiki za sistemsko zdravljenje,R06AX - Drugi antihistaminiki za sistemsko zdravljenje
S01AA,Antibiotiki,S01AA - Antibiotiki
S01AD,Protivirusna zdravila,S01AD - Protivirusna zdravila
S01AE,Fluorokinoloni,S01AE - Fluorokinoloni
S01AX,Druga zdravila za preprečevanje in zdravljenje infekcij,S01AX - Druga zdravila za preprečevanje in zdravljenje infekcij
S01BA,"Kortikosteroidi, enokomponentna zdravila","S01BA - Kortikosteroidi, enokomponentna zdravila"
S01BC,Nesteroidna protivnetna zdravila,S01BC - Nesteroidna protivnetna zdravila
S01CA,Kortikosteroidi v kombinaciji s protimikrobnimi učinkovinami,S01CA - Kortikosteroidi v kombinaciji s protimikrobnimi učinkovinami
S01EA,Simpatikomimetiki za zdravljenje glavkoma (zelene mrene),S01EA - Simpatikomimetiki za zdravljenje glavkoma (zelene mrene)
S01EB,Parasimpatikomimetiki,S01EB - Parasimpatikomimetiki
S01EC,Zaviralci karboanhidraze,S01EC - Zaviralci karboanhidraze
S01ED,Antagonisti adrenergičnih receptorjev beta,S01ED - Antagonisti adrenergičnih receptorjev beta
S01EE,Analogi prostaglandina,S01EE - Analogi prostaglandina
S01FA,Antiholinergiki,S01FA - Antiholinergiki
S01FB,"Simpatikomimetiki, brez zdravil za zdravljenje glavkoma","S01FB - Simpatikomimetiki, brez zdravil za zdravljenje glavkoma"
S01GX,Druga protialergijska zdravila,S01GX - Druga protialergijska zdravila
S01XA,Druga zdravila za očesne bolezni,S01XA - Druga zdravila za očesne bolezni
S03AA,Zdravila za zdravljenje in preprečevanje infekcij,S03AA - Zdravila za zdravljenje in preprečevanje infekcij
V01AA,Alergenski ekstrakti,V01AA - Alergenski ekstrakti
V03AC,Kelirajoča sredstva za zdravljenje akutnih zastrupitev z železom,V03AC - Kelirajoča sredstva za zdravljenje akutnih zastrupitev z železom
V03AE,Zdravila za zdravljenje hiperkaliemije in hiperfosfatemije,V03AE - Zdravila za zdravljenje hiperkaliemije in hiperfosfatemije
V03AG,Zdravila za zdravljenje hiperkalciemije,V03AG - Zdravila za zdravljenje hiperkalciemije
V06,OSNOVNA HRANILA,V06 - OSNOVNA HRANILA
V06C,Hranila za otroke,V06C - Hranila za otroke
V06CA,Hranila brez fenilalanina,V06CA - Hranila brez fenilalanina
V06DB,"Maščobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije","V06DB - Maščobe, ogljikovi hidrati, proteini, minerali in vitamini, kombinacije"
V06DF,Mlečni nadomestki,V06DF - Mlečni nadomestki
V06DX,Druge kombinacije hranil,V06DX - Druge kombinacije hranil
V07AB,"Raztopine in pripravki za redčenje, vključno s tekočinami za izpiranje","V07AB - Raztopine in pripravki za redčenje, vključno s tekočinami za izpiranje"
